month,onset,offset,onset_500,offset_500,object,FemaleAdult,MaleAdult,Child,Electronic,Overlap,FirstPass,subj
7,12504380,12505950,12503880,12506450,robot+blanket,NA,NA,NA,NA,NA,NA,357
7,12618650,12619650,12618150,12620150,doggy,NA,NA,NA,NA,NA,NA,357
7,12783460,12784950,12782960,12785450,wheels,NA,NA,NA,NA,NA,NA,357
7,14766230,14767050,14765730,14767550,face,NA,NA,NA,NA,NA,NA,357
7,16776490,16778530,16775990,16779030,puppy+dog,NA,NA,NA,NA,NA,NA,357
7,16817910,16819150,16817410,16819650,dough,NA,NA,NA,NA,NA,NA,357
7,16879560,16882740,16879060,16883240,cheese,NA,NA,NA,NA,NA,NA,357
7,16879560,16882740,16879060,16883240,paper,NA,NA,NA,NA,NA,NA,357
7,16879560,16882740,16879060,16883240,cheese,NA,NA,NA,NA,NA,NA,357
7,16927100,16928130,16926600,16928630,couch,NA,NA,NA,NA,NA,NA,357
7,16927100,16928130,16926600,16928630,oven,NA,NA,NA,NA,NA,NA,357
7,16932810,16933840,16932310,16934340,table,NA,NA,NA,NA,NA,NA,357
7,17133200,17134000,17132700,17134500,pizza,NA,NA,NA,NA,NA,NA,357
7,17149270,17149950,17148770,17150450,pizza,NA,NA,NA,NA,NA,NA,357
7,17165860,17166670,17165360,17167170,pizza,NA,NA,NA,NA,NA,NA,357
7,17579270,17586840,17578770,17587340,birdies,NA,NA,NA,NA,NA,NA,357
7,17579270,17586840,17578770,17587340,table,NA,NA,NA,NA,NA,NA,357
7,17579270,17586840,17578770,17587340,trees,NA,NA,NA,NA,NA,NA,357
7,21693060,21694110,21692560,21694610,book,NA,NA,NA,NA,NA,NA,357
7,21703210,21704010,21702710,21704510,book,NA,NA,NA,NA,NA,NA,357
7,21740590,21741590,21740090,21742090,dog,NA,NA,NA,NA,NA,NA,357
7,21777490,21779930,21776990,21780430,table,NA,NA,NA,NA,NA,NA,357
7,22055730,22057100,22055230,22057600,book,NA,NA,NA,NA,NA,NA,357
7,22208210,22209210,22207710,22209710,milk,NA,NA,NA,NA,NA,NA,357
7,22840720,22842250,22840220,22842750,rain+stick,NA,NA,NA,NA,NA,NA,357
7,23034120,23035940,23033620,23036440,frog,NA,NA,NA,NA,NA,NA,357
7,23964890,23968250,23964390,23968750,toes,NA,NA,NA,NA,NA,NA,357
7,24923670,24924730,24923170,24925230,buttons,NA,NA,NA,NA,NA,NA,357
7,25756160,25757160,25755660,25757660,hair,NA,NA,NA,NA,NA,NA,357
7,26735530,26737540,26735030,26738040,tail,NA,NA,NA,NA,NA,NA,357
7,26962490,26964040,26961990,26964540,beard,NA,NA,NA,NA,NA,NA,357
7,27102020,27103910,27101520,27104410,bed,NA,NA,NA,NA,NA,NA,357
7,27564810,27566350,27564310,27566850,eyes,NA,NA,NA,NA,NA,NA,357
7,29283130,29284730,29282630,29285230,doctor+bronner,NA,NA,NA,NA,NA,NA,357
7,29298720,29299730,29298220,29300230,doctor+bronner,NA,NA,NA,NA,NA,NA,357
7,29773650,29774590,29773150,29775090,bouncer,NA,NA,NA,NA,NA,NA,357
7,32381220,32382020,32380720,32382520,park,NA,NA,NA,NA,NA,NA,357
7,32381220,32382020,32380720,32382520,records,NA,NA,NA,NA,NA,NA,357
7,32381220,32382020,32380720,32382520,records,NA,NA,NA,NA,NA,NA,357
7,32381220,32382020,32380720,32382520,records,NA,NA,NA,NA,NA,NA,357
7,32381220,32382020,32380720,32382520,baseball,NA,NA,NA,NA,NA,NA,357
7,32381220,32382020,32380720,32382520,bonfire,NA,NA,NA,NA,NA,NA,357
7,32442840,32457680,32442340,32458180,record,NA,NA,NA,NA,NA,NA,357
7,32600230,32601040,32599730,32601540,records,NA,NA,NA,NA,NA,NA,357
7,32600230,32601040,32599730,32601540,cassettes,NA,NA,NA,NA,NA,NA,357
7,32600230,32601040,32599730,32601540,record,NA,NA,NA,NA,NA,NA,357
7,32600230,32601040,32599730,32601540,records,NA,NA,NA,NA,NA,NA,357
7,34698140,34701100,34697640,34701600,baby,NA,NA,NA,NA,NA,NA,357
7,37099980,37101170,37099480,37101670,hair,NA,NA,NA,NA,NA,NA,357
6,49419030,49421220,49418530,49421720,sheep,NA,NA,NA,NA,NA,NA,521
6,49419030,49421220,49418530,49421720,bed,NA,NA,NA,NA,NA,NA,521
6,49419030,49421220,49418530,49421720,sheep,NA,NA,NA,NA,NA,NA,521
6,49429920,49432110,49429420,49432610,eyes,NA,NA,NA,NA,NA,NA,521
6,49444020,49444820,49443520,49445320,snake,NA,NA,NA,NA,NA,NA,521
6,49448790,49449920,49448290,49450420,pup,NA,NA,NA,NA,NA,NA,521
7,21740,22540,21240,23040,vest,NA,NA,NA,NA,NA,NA,521
7,415770,418550,415270,419050,pants,NA,NA,NA,NA,NA,NA,521
7,415770,418550,415270,419050,booties,NA,NA,NA,NA,NA,NA,521
7,714580,716820,714080,717320,bear,NA,NA,NA,NA,NA,NA,521
7,723520,725670,723020,726170,wires,NA,NA,NA,NA,NA,NA,521
7,1519950,1520940,1519450,1521440,arms,NA,NA,NA,NA,NA,NA,521
7,1628490,1629490,1627990,1629990,wings,NA,NA,NA,NA,NA,NA,521
7,3240010,3243640,3239510,3244140,recorder,NA,NA,NA,NA,NA,NA,521
7,3240010,3243640,3239510,3244140,vest,NA,NA,NA,NA,NA,NA,521
7,3638750,3639950,3638250,3640450,wreath,NA,NA,NA,NA,NA,NA,521
7,3846620,3849680,3846120,3850180,coffee,NA,NA,NA,NA,NA,NA,521
7,4139850,4141090,4139350,4141590,bracelets,NA,NA,NA,NA,NA,NA,521
7,4360970,4363300,4360470,4363800,jacket,NA,NA,NA,NA,NA,NA,521
7,4445910,4448770,4445410,4449270,hat,NA,NA,NA,NA,NA,NA,521
7,4463420,4464900,4462920,4465400,hat,NA,NA,NA,NA,NA,NA,521
7,11530050,11531490,11529550,11531990,baby,NA,NA,NA,NA,NA,NA,521
